asset_id,article_id,asset_type,role_in_article,recommended_ratio,prompt,negative_prompt,caption,alt_text,file_path,rights_checked,misrecognition_risk,risk_note,created_at
ASSET-YYYYMMDD-001,ART-YYYYMMDD-001,eyecatch,,16:9,,,,,,false,medium,,
ASSET-20260702-001,ART-20260702-001,eyecatch,会議室で相づちだけが巨大に扱われる違和感を見せる,16:9,架空の日本語ユーモア記事のアイキャッチ画像。テーマ: 会議の相づち検証。中心被写体: ホワイトボードに大きく書かれた「なるほど」。状況: 真剣な会議室で相づちだけが議題になっている。トーン: 真面目に撮られているが内容はばかばかしい。実在ロゴなし。,実在ロゴ;実在人物;有名企業風;ニュース写真風;読みにくい文字,会議は進んでいないが相づちは育っている,架空の会議室で相づちを検証しているアイキャッチ,,false,low,架空設定として使う,2026-07-02
ASSET-TEST-20260703-EMPTYBOX-EYE,ART-TEST-20260703-EMPTYBOX,eyecatch,"ラベル付き空き箱を4人が真剣に見守る",16:9,"空き箱を大事そうに見せる日本語ユーモア記事用。普通の段ボール箱、手書きラベル、4人の編集部員、明るい作業机。","実在ロゴ;配送会社風マーク;危険物表示;公式書類風;著作権キャラクター","手書きラベルを貼った空き箱を、編集部の4人が真剣な顔で見守っている","手書きラベルを貼った空き箱を、編集部の4人が真剣な顔で見守っている",site/public/images/make-empty-box-look-important/eyecatch.png,true,low,"AI生成画像。実在ロゴ・危険表示なしを目視確認",2026-07-03
ASSET-TEST-20260703-EMPTYBOX-COMP,ART-TEST-20260703-EMPTYBOX,inline,"普通の箱、ラベル箱、待遇のある箱の比較",4:3,"同じ空き箱が普通、ラベル付き、クッションと紙囲い付きへ変わる比較挿絵。","実在ロゴ;配送会社風マーク;危険物表示;読める長文;著作権キャラクター","左はただの箱。真ん中は少し見られる箱。右はもう、箱のための場所ができている。","普通の空き箱、ラベル付きの空き箱、クッションと紙の囲いに置かれた空き箱の比較",site/public/images/make-empty-box-look-important/comparison.png,true,low,"AI生成画像。比較用の抽象ラベルのみ",2026-07-03
ASSET-TEST-20260703-EMPTYBOX-HAND,ART-TEST-20260703-EMPTYBOX,inline,"空き箱を大事そうに両手で持つ場面",4:3,"人物が空き箱を胸の前で大事そうに持ち、ほかの編集部員が観察する挿絵。","実在ロゴ;配送会社風マーク;危険物表示;公式書類風;危険な動き;著作権キャラクター","両手で持つだけで、空き箱が「引き継がれている何か」になる。","成瀬ポカが空き箱を大事そうに両手で持ち、ほかの3人が真剣に観察している",site/public/images/make-empty-box-look-important/handoff.png,true,low,"AI生成画像。安全な静止ポーズ",2026-07-03
ASSET-HUMOR-TEST-20260703-02-EYE,humor-test-20260703-02,eyecatch,"生活用品授賞式の主役感を見せる",16:9,"小さな王冠をかぶったスポンジと生活用品が授賞式のように並ぶ写真風挿絵","実在ロゴ;ブランド名;読める固有名詞;識別可能人物;著作権キャラクター","生活用品アワード、開幕です。","小さな王冠をかぶったスポンジと、輪ゴム、洗濯ばさみ、スプーン、紙袋が授賞式のように並んでいる",site/public/images/household-item-awards/eyecatch.png,true,low,"AI生成画像。実在ロゴ・固有名詞なしを目視確認",2026-07-03
ASSET-HUMOR-TEST-20260703-02-NOMINEES,humor-test-20260703-02,inline,"候補者全員の会場入り",16:9,"スポンジ、輪ゴム、洗濯ばさみ、スプーン、紙袋が名札付きで並ぶ写真風挿絵","実在ロゴ;ブランド名;読める固有名詞;識別可能人物","会場入りしたみなさん。呼ばれてないのに全員前のめり。","机の上にスポンジ、輪ゴム、洗濯ばさみ、スプーン、紙袋が名札付きで並んでいる",site/public/images/household-item-awards/nominees.png,true,low,"AI生成画像。名札は空欄で固有名詞なし",2026-07-03
ASSET-HUMOR-TEST-20260703-02-RUBBER,humor-test-20260703-02,inline,"輪ゴムの実演",16:9,"輪ゴムが紙袋の口を止める生活検証の写真風挿絵","実在ロゴ;ブランド名;読める固有名詞;危険行為","仕事が早い。会議には出ない。","輪ゴムが紙袋の口を止め、横に採点表と紙メダルが置かれている",site/public/images/household-item-awards/rubber-band.png,true,low,"AI生成画像。安全な卓上静物",2026-07-03
ASSET-HUMOR-TEST-20260703-02-SPONGE,humor-test-20260703-02,inline,"スポンジの実演",16:9,"水を吸ったスポンジと紙メダルの写真風挿絵","実在ロゴ;ブランド名;読める固有名詞;不衛生な強調","受賞前から泣いている可能性がある。","水を吸った黄色いスポンジと、少し濡れた紙メダルが置かれている",site/public/images/household-item-awards/sponge.png,true,low,"AI生成画像。生活用品のみ",2026-07-03
ASSET-HUMOR-TEST-20260703-02-SCORE,humor-test-20260703-02,inline,"採点表と候補者",16:9,"生活用品の前に空欄の採点表とチェックが並ぶ写真風挿絵","実在ロゴ;ブランド名;読める固有名詞;識別可能人物","採点表。きれいに見えるけど、ほとんど気持ちで丸をつけています。","生活用品の前に空欄の採点表とチェックが並び、手作りメダルが置かれている",site/public/images/household-item-awards/score-sheet.png,true,low,"AI生成画像。読める固有名詞なし",2026-07-03
ASSET-HUMOR-TEST-20260703-02-CRAFT,humor-test-20260703-02,inline,"王冠工作の過程",16:9,"金色の紙から小さな王冠を切り出す写真風挿絵","実在ロゴ;ブランド名;読める固有名詞;危険な工具描写","この時点ではまだ誰も優勝していない。なのに王冠だけ先にある。","机の上で金色の紙から小さな王冠を切り出し、生活用品の横にメダルや名札が並んでいる",site/public/images/household-item-awards/crafting.png,true,low,"AI生成画像。ハサミは通常工作用途",2026-07-03
ASSET-HUMOR-TEST-20260703-02-CLOTHESPIN,humor-test-20260703-02,inline,"洗濯ばさみが賞状を持つ",16:9,"木の洗濯ばさみが小さな賞状を挟んでいる写真風挿絵","実在ロゴ;ブランド名;読める固有名詞","自分の賞状を自分で持てるタイプ。このまま受付も任せたい。","木の洗濯ばさみが小さな賞状を自分で挟んで立っている",site/public/images/household-item-awards/clothespin.png,true,low,"AI生成画像。固有名詞なし",2026-07-03
ASSET-HUMOR-TEST-20260703-02-NAMETAGS,humor-test-20260703-02,inline,"候補者に名札とメダルが付く",16:9,"生活用品に白い名札と小さなメダルが付いて並ぶ写真風挿絵","実在ロゴ;ブランド名;読める固有名詞;識別可能人物","名札をつけた瞬間、全員が少しだけ立派に見える。少しだけでいい。","スポンジ、輪ゴム、洗濯ばさみ、スプーン、紙袋に白い名札と小さなメダルが付いて並んでいる",site/public/images/household-item-awards/name-tags.png,true,low,"AI生成画像。名札は空欄",2026-07-03
ASSET-HUMOR-TEST-20260703-02-SPEECH,humor-test-20260703-02,inline,"受賞コメント練習",16:9,"王冠とメダルを付けたスポンジの前に小さなマイクがある写真風挿絵","実在ロゴ;ブランド名;読める固有名詞;識別可能な顔","受賞コメントの練習。本人は何も言っていないのに、会場だけ仕上がっている。","王冠とメダルを付けたスポンジの前に小さなマイクがあり、周囲の手が拍手している",site/public/images/household-item-awards/acceptance-speech.png,true,low,"AI生成画像。手のみで識別可能人物なし",2026-07-03
ASSET-HUMOR-TEST-20260703-02-LOSERS,humor-test-20260703-02,inline,"落選者席",16:9,"スポンジ以外の生活用品が小さな名札とメダルを付けて並ぶ写真風挿絵","実在ロゴ;ブランド名;読める固有名詞;識別可能人物","落選者席。作った瞬間に、作った側が悪者っぽくなった。","スポンジ以外の生活用品が小さな名札とメダルを付けて机に並び、奥にスポンジがぼんやり見える",site/public/images/household-item-awards/loser-seats.png,true,low,"AI生成画像。固有名詞なし",2026-07-03
ASSET-HUMOR-TEST-20260703-02-JUDGING,humor-test-20260703-02,inline,"最終討論",16:9,"4人の手が机の上の生活用品を指差し最優秀賞を選ぶ写真風挿絵","実在ロゴ;ブランド名;読める固有名詞;識別可能な顔","会議が一番まじめだった瞬間。内容はスポンジ。","4人の手が机の上の生活用品を指差し、最優秀賞を選んでいる",site/public/images/household-item-awards/judging.png,true,low,"AI生成画像。手のみで識別可能人物なし",2026-07-03
ASSET-HUMOR-TEST-20260703-02-WINNER,humor-test-20260703-02,inline,"スポンジ受賞",16:9,"王冠とメダルをつけたスポンジが最優秀賞として置かれている写真風挿絵","実在ロゴ;ブランド名;読める固有名詞;識別可能人物","本人からのコメントはありませんでした。このあと普通に使われます。","王冠とメダルをつけたスポンジが最優秀賞のように置かれている",site/public/images/household-item-awards/winner.png,true,low,"AI生成画像。実在ロゴなし",2026-07-03
